nmc=10
nx=5
kmax=152
run number  , frame , sample interval , truth:
2  143 1.309290  147.307382 4.476341 589.116208 5.733551 1.551128
2  144 1.309290  144.509666 -7.194992 596.594186 1.463112 1.545215
2  145 1.309290  138.932818 1.785788 590.642050 -7.282458 1.534954
2  146 1.309290  146.583884 5.584937 588.034631 4.756260 1.303866
2  147 1.309290  146.753829 -5.364369 596.515313 4.888399 1.345481
2  148 1.309290  138.602015 -3.652222 595.292460 -6.265875 1.463342
2  149 1.309290  141.915834 7.027918 587.896846 -1.356641 1.319209
2  150 1.309290  148.371641 0.252647 592.994462 7.086384 1.308842
2  151 1.309290  142.371821 -7.059039 598.607602 -0.707596 1.143527
2  152 1.309290  136.765860 0.151686 592.217371 -7.174339 1.266847
3  1 1.309290  24.204219 -1.209634 125.278493 4.017893 0.140100
3  2 1.309290  22.186878 -1.863134 130.363346 3.727652 0.159602
3  3 1.309290  19.240574 -2.621182 135.079867 3.451508 -0.030381
3  4 1.309290  15.593150 -2.949750 139.703049 3.609688 -0.298960
3  5 1.309290  12.812947 -1.241389 144.983902 4.352392 -0.462544
3  6 1.309290  13.012314 1.539090 150.806037 4.267142 -0.252259
3  7 1.309290  16.005413 2.992760 156.003878 3.601066 -0.236009
3  8 1.309290  20.646401 4.040816 159.984456 2.430269 -0.299739
3  9 1.309290  26.562800 4.883295 162.043990 0.674958 -0.522575
3  10 1.309290  32.804339 4.278735 160.816398 -2.472868 -0.464939
3  11 1.309290  37.145887 2.148741 156.030276 -4.615324 -0.272718
3  12 1.309290  38.905214 0.511281 149.704939 -4.942625 -0.317862
3  13 1.309290  38.297732 -1.424268 143.162329 -4.909477 -0.448431
3  14 1.309290  34.614239 -4.043861 137.827749 -2.995133 -0.855868
3  15 1.309290  28.476579 -4.314259 137.306165 2.277100 -0.891421
3  16 1.309290  25.544680 0.350256 142.557022 4.805385 -0.752953
3  17 1.309290  28.818099 4.241816 147.758519 2.497146 -0.668908
3  18 1.309290  34.998215 4.584065 148.442828 -1.509873 -0.601865
3  19 1.309290  39.640206 2.134537 144.461115 -4.250995 -0.507489
3  20 1.309290  40.356385 -1.086488 138.435296 -4.610609 -0.556066
3  21 1.309290  37.036393 -3.753331 133.431128 -2.691602 -0.820713
3  22 1.309290  31.199283 -4.302784 133.020714 2.137850 -0.804392
3  23 1.309290  27.867560 -0.310957 137.979925 4.716476 -0.655873
3  24 1.309290  30.051631 3.444445 143.486348 3.161818 -0.792902
3  25 1.309290  35.822396 4.573574 144.703803 -1.483338 -0.836724
3  26 1.309290  39.727579 0.783897 140.199716 -4.688804 -0.590158
3  27 1.309290  38.387210 -2.729357 134.354103 -3.785911 -0.947922
3  28 1.309290  32.941273 -4.497462 132.573242 1.434289 -0.884909
3  29 1.309290  29.199884 -0.573406 137.114103 4.709883 -0.779049
3  30 1.309290  31.504486 3.789910 142.550234 2.852366 -0.856146
3  31 1.309290  36.669775 4.100303 146.360839 2.968505 0.000000
3  32 1.309290  41.995454 4.034912 150.239000 2.955561 0.000000
3  33 1.309290  47.284816 4.044829 154.214601 3.117350 0.000000
3  34 1.309290  52.703938 4.233125 158.300132 3.123483 0.000000
3  35 1.309290  58.236898 4.218722 162.427572 3.181370 0.000000
3  36 1.309290  63.763087 4.222783 166.668942 3.297514 0.000000
3  37 1.309290  69.134210 3.981851 170.927454 3.207558 0.000000
3  38 1.309290  74.370566 4.016920 175.106480 3.176094 0.000000
3  39 1.309290  79.656817 4.058068 179.259026 3.167107 0.000000
3  40 1.309290  84.925266 3.989727 183.387614 3.139498 0.000000
3  41 1.309290  90.060782 3.855006 187.565532 3.242461 0.000000
3  42 1.309290  94.972743 3.648236 191.755814 3.158384 0.000000
3  43 1.309290  99.762335 3.668082 195.786183 2.998189 0.000000
3  44 1.309290  104.548683 3.643281 199.632527 2.877275 0.000000
3  45 1.309290  109.246943 3.533524 203.346915 2.796621 0.000000
3  46 1.309290  113.786191 3.400383 207.101350 2.938449 0.000000
3  47 1.309290  118.316229 3.519455 210.886134 2.842980 0.000000
3  48 1.309290  123.067758 3.738719 214.569935 2.784194 0.000000
3  49 1.309290  127.984300 3.771522 218.342320 2.978295 0.000000
3  50 1.309290  132.914626 3.759774 222.337308 3.124230 0.000000
3  51 1.309290  137.802769 3.707086 226.386591 3.061234 0.000000
3  52 1.309290  142.617199 3.647173 230.450658 3.146812 0.000000
3  53 1.309290  147.576324 3.928115 234.698933 3.342620 0.000000
3  54 1.309290  152.578543 3.713002 238.990986 3.213685 0.000000
3  55 1.309290  157.326864 3.540273 243.222440 3.250052 0.000000
