nmc=50
nx=2
kmax=100
run number  , frame , sample interval , truth:
4  73 1.000000  -1116.961469 -11.698791
4  74 1.000000  -1127.911287 -10.200845
4  75 1.000000  -1137.505282 -8.987144
4  76 1.000000  -1146.333054 -8.668401
4  77 1.000000  -1155.242655 -9.150802
4  78 1.000000  -1164.396694 -9.157276
4  79 1.000000  -1173.569056 -9.187447
4  80 1.000000  -1183.591121 -10.856684
4  81 1.000000  -1194.906279 -11.773632
4  82 1.000000  -1206.118592 -10.650992
4  83 1.000000  -1217.554182 -12.220189
4  84 1.000000  -1229.526496 -11.724438
4  85 1.000000  -1240.929008 -11.080586
4  86 1.000000  -1252.760145 -12.581687
4  87 1.000000  -1265.001961 -11.901946
4  88 1.000000  -1276.683730 -11.461593
4  89 1.000000  -1287.675227 -10.521402
4  90 1.000000  -1298.759018 -11.646179
4  91 1.000000  -1310.238641 -11.313069
4  92 1.000000  -1321.149350 -10.508347
4  93 1.000000  -1331.662425 -10.517803
4  94 1.000000  -1341.314783 -8.786913
4  95 1.000000  -1350.260818 -9.105156
4  96 1.000000  -1359.471299 -9.315807
4  97 1.000000  -1368.476888 -8.695371
4  98 1.000000  -1376.217478 -6.785808
4  99 1.000000  -1382.898843 -6.576922
4  100 1.000000  -1388.871125 -5.367644
5  1 1.000000  -7.455968 -7.776236
5  2 1.000000  -14.821543 -6.954914
5  3 1.000000  -22.890370 -9.182740
5  4 1.000000  -31.759450 -8.555421
5  5 1.000000  -40.059687 -8.045052
5  6 1.000000  -47.965045 -7.765665
5  7 1.000000  -55.795427 -7.895100
5  8 1.000000  -64.164124 -8.842294
5  9 1.000000  -73.076583 -8.982625
5  10 1.000000  -83.048604 -10.961417
5  11 1.000000  -93.854341 -10.650057
5  12 1.000000  -104.362945 -10.367150
5  13 1.000000  -114.522241 -9.951441
5  14 1.000000  -123.787524 -8.579126
5  15 1.000000  -132.073371 -7.992568
5  16 1.000000  -140.549598 -8.959885
5  17 1.000000  -149.223527 -8.387973
5  18 1.000000  -157.487342 -8.139659
5  19 1.000000  -165.358801 -7.603259
5  20 1.000000  -172.352689 -6.384517
5  21 1.000000  -179.182557 -7.275219
5  22 1.000000  -186.854618 -8.068903
5  23 1.000000  -194.668750 -7.559360
5  24 1.000000  -202.288756 -7.680651
5  25 1.000000  -210.094028 -7.929894
5  26 1.000000  -218.631389 -9.144829
5  27 1.000000  -227.838780 -9.269954
5  28 1.000000  -237.788692 -10.629870
5  29 1.000000  -247.613007 -9.018759
5  30 1.000000  -256.605830 -8.966885
5  31 1.000000  -264.860179 -7.541814
5  32 1.000000  -272.567608 -7.873043
5  33 1.000000  -280.797690 -8.587123
5  34 1.000000  -289.147099 -8.111696
5  35 1.000000  -297.187537 -7.969180
5  36 1.000000  -304.762453 -7.180651
5  37 1.000000  -311.456212 -6.206868
5  38 1.000000  -317.106188 -5.093083
5  39 1.000000  -322.711531 -6.117604
5  40 1.000000  -328.098655 -4.656644
5  41 1.000000  -333.175366 -5.496778
5  42 1.000000  -337.771756 -3.696001
5  43 1.000000  -341.322312 -3.405111
5  44 1.000000  -344.578549 -3.107363
5  45 1.000000  -347.822091 -3.379721
5  46 1.000000  -351.190756 -3.357609
5  47 1.000000  -354.672138 -3.605156
5  48 1.000000  -358.054635 -3.159837
5  49 1.000000  -361.179649 -3.090192
5  50 1.000000  -364.829479 -4.209468
5  51 1.000000  -368.823814 -3.779203
5  52 1.000000  -372.398741 -3.370651
5  53 1.000000  -375.177084 -2.186035
5  54 1.000000  -377.321330 -2.102456
5  55 1.000000  -379.343559 -1.942002
5  56 1.000000  -380.710210 -0.791300
5  57 1.000000  -380.730318 0.751083
5  58 1.000000  -380.296060 0.117433
5  59 1.000000  -380.465221 -0.455754
5  60 1.000000  -380.943252 -0.500309
5  61 1.000000  -381.519377 -0.651941
5  62 1.000000  -382.466004 -1.241313
5  63 1.000000  -384.033543 -1.893766
5  64 1.000000  -385.805545 -1.650237
5  65 1.000000  -388.207463 -3.153600
5  66 1.000000  -391.561506 -3.554485
5  67 1.000000  -394.796779 -2.916061
5  68 1.000000  -397.689474 -2.869329
5  69 1.000000  -400.910045 -3.571813
5  70 1.000000  -404.063165 -2.734426
5  71 1.000000  -407.047912 -3.235067
5  72 1.000000  -409.875952 -2.421014
5  73 1.000000  -412.682202 -3.191486
5  74 1.000000  -416.536068 -4.516246
5  75 1.000000  -420.318055 -3.047728
5  76 1.000000  -423.193665 -2.703492
5  77 1.000000  -425.682694 -2.274565
5  78 1.000000  -427.909636 -2.179318
5  79 1.000000  -430.759849 -3.521109
5  80 1.000000  -433.830957 -2.621106
5  81 1.000000  -436.205251 -2.127482
5  82 1.000000  -437.684945 -0.831905
5  83 1.000000  -439.105297 -2.008801
5  84 1.000000  -441.326189 -2.432983
5  85 1.000000  -442.840209 -0.595057
5  86 1.000000  -443.529656 -0.783835
5  87 1.000000  -444.283544 -0.723941
5  88 1.000000  -445.592084 -1.893140
5  89 1.000000  -446.985966 -0.894623
5  90 1.000000  -448.153538 -1.440521
5  91 1.000000  -450.849920 -3.952244
5  92 1.000000  -453.949754 -2.247423
5  93 1.000000  -456.540352 -2.933772
5  94 1.000000  -458.643438 -1.272400
5  95 1.000000  -459.925822 -1.292368
5  96 1.000000  -460.625118 -0.106225
5  97 1.000000  -459.895257 1.565947
5  98 1.000000  -457.544922 3.134723
5  99 1.000000  -454.761521 2.432080
5  100 1.000000  -452.051471 2.988020
6  1 1.000000  -7.675629 -8.215558
6  2 1.000000  -16.151911 -8.737006
6  3 1.000000  -24.806235 -8.571641
6  4 1.000000  -33.257118 -8.330126
6  5 1.000000  -42.032416 -9.220469
6  6 1.000000  -51.240468 -9.195636
6  7 1.000000  -60.020169 -8.363767
6  8 1.000000  -68.288458 -8.172810
6  9 1.000000  -76.444330 -8.138935
6  10 1.000000  -84.727135 -8.426675
6  11 1.000000  -93.197576 -8.514206
6  12 1.000000  -101.359012 -7.808665
6  13 1.000000  -108.872814 -7.218938
6  14 1.000000  -115.972010 -6.979454
6  15 1.000000  -122.750632 -6.577789
6  16 1.000000  -128.694483 -5.309914
6  17 1.000000  -133.804148 -4.909415
6  18 1.000000  -139.166733 -5.815755
6  19 1.000000  -145.277619 -6.406018
6  20 1.000000  -151.012593 -5.063932
6  21 1.000000  -156.071837 -5.054555
6  22 1.000000  -161.286425 -5.374622
6  23 1.000000  -167.268977 -6.590483
6  24 1.000000  -174.139010 -7.149583
6  25 1.000000  -181.612656 -7.797710
6  26 1.000000  -188.838066 -6.653110
6  27 1.000000  -195.655740 -6.982237
6  28 1.000000  -202.892452 -7.491187
6  29 1.000000  -211.253971 -9.231851
6  30 1.000000  -220.318713 -8.897633
6  31 1.000000  -229.511337 -9.487615
6  32 1.000000  -239.313064 -10.115839
6  33 1.000000  -249.013148 -9.284329
6  34 1.000000  -258.196318 -9.082010
6  35 1.000000  -267.944284 -10.413924
6  36 1.000000  -278.032042 -9.761591
6  37 1.000000  -287.760426 -9.695176
6  38 1.000000  -297.087188 -8.958348
6  39 1.000000  -306.298054 -9.463383
6  40 1.000000  -316.490362 -10.921233
6  41 1.000000  -326.862604 -9.823252
6  42 1.000000  -336.760446 -9.972433
6  43 1.000000  -346.750063 -10.006801
6  44 1.000000  -357.453724 -11.400520
6  45 1.000000  -368.694883 -11.081798
6  46 1.000000  -379.678115 -10.884666
6  47 1.000000  -390.911352 -11.581809
6  48 1.000000  -403.017293 -12.630073
6  49 1.000000  -415.074748 -11.484837
6  50 1.000000  -426.097810 -10.561289
6  51 1.000000  -436.573778 -10.390646
6  52 1.000000  -446.684018 -9.829834
6  53 1.000000  -457.327705 -11.457541
6  54 1.000000  -468.351539 -10.590127
6  55 1.000000  -479.375064 -11.456923
6  56 1.000000  -491.850666 -13.494280
6  57 1.000000  -505.245019 -13.294426
6  58 1.000000  -518.031402 -12.278339
6  59 1.000000  -530.129878 -11.918615
6  60 1.000000  -542.460932 -12.743492
6  61 1.000000  -554.758692 -11.852029
6  62 1.000000  -566.026091 -10.682769
6  63 1.000000  -576.270895 -9.806839
6  64 1.000000  -586.752644 -11.156659
6  65 1.000000  -598.359364 -12.056782
6  66 1.000000  -610.753227 -12.730944
6  67 1.000000  -624.506328 -14.775258
6  68 1.000000  -638.925864 -14.063814
6  69 1.000000  -652.616349 -13.317156
6  70 1.000000  -666.365163 -14.180471
6  71 1.000000  -681.205685 -15.500573
6  72 1.000000  -696.389432 -14.866921
6  73 1.000000  -710.833378 -14.020970
6  74 1.000000  -724.166827 -12.645928
