nmc=10
nx=5
kmax=157
run number  , frame , sample interval , truth:
3  13 1.272188  64.323596 4.032585 146.719809 0.228432 0.266665
3  14 1.272188  69.265725 3.661626 148.019744 1.797862 0.399120
3  15 1.272188  73.093831 2.224481 151.437526 3.461658 0.372558
3  16 1.272188  74.888493 0.546651 156.225099 3.920139 0.334866
3  17 1.272188  74.336111 -1.406183 161.306251 3.949062 0.129458
3  18 1.272188  72.097078 -2.105990 166.278440 3.850434 0.259354
3  19 1.272188  68.643821 -3.273826 170.648018 2.956487 0.382909
3  20 1.272188  63.610997 -4.485304 173.194150 0.964511 0.382323
3  21 1.272188  57.786307 -4.491924 172.893603 -1.431359 0.327680
3  22 1.272188  52.473592 -3.741976 169.931411 -3.158298 0.291268
3  23 1.272188  48.532152 -2.383732 165.054787 -4.421702 0.290997
3  24 1.272188  46.550764 -0.696387 158.952858 -5.062188 0.275976
3  25 1.272188  46.836365 1.141314 152.513978 -4.955765 0.167202
3  26 1.272188  48.940810 2.154561 146.438030 -4.559995 0.230045
3  27 1.272188  52.596374 3.552499 141.130508 -3.724147 0.325779
3  28 1.272188  57.929831 4.711260 137.455509 -1.970246 0.515015
3  29 1.272188  64.297901 4.939339 136.951892 1.203252 0.571186
3  30 1.272188  69.478183 2.840723 140.466079 4.071251 0.547827
3  31 1.272188  71.072905 -0.436023 146.508430 5.044292 0.524843
3  32 1.272188  70.590851 -0.321812 152.963108 5.103074 0.000000
3  33 1.272188  70.197790 -0.296116 159.296246 4.853220 0.000000
3  34 1.272188  69.865100 -0.226905 165.557667 4.990328 0.000000
3  35 1.272188  69.655970 -0.101866 171.830562 4.871259 0.000000
3  36 1.272188  69.533877 -0.090076 177.978308 4.793580 0.000000
3  37 1.272188  69.516256 0.062374 184.076860 4.793921 0.000000
3  38 1.272188  69.552266 -0.005764 190.306131 4.999083 0.000000
3  39 1.272188  69.578176 0.046497 196.798425 5.207420 0.000000
3  40 1.272188  69.623913 0.025407 203.395095 5.163170 0.000000
3  41 1.272188  69.492884 -0.231397 209.943777 5.131979 0.000000
3  42 1.272188  69.176229 -0.266415 216.445014 5.088581 0.000000
3  43 1.272188  68.942750 -0.100637 222.802060 4.905299 0.000000
3  44 1.272188  68.783068 -0.150399 228.865448 4.626921 0.000000
3  45 1.272188  68.625111 -0.097924 234.690410 4.530470 0.000000
3  46 1.272188  68.511473 -0.080725 240.463070 4.544699 0.000000
3  47 1.272188  68.352740 -0.168819 246.219881 4.505553 0.000000
3  48 1.272188  68.187927 -0.090283 251.790483 4.251962 0.000000
3  49 1.272188  67.998605 -0.207348 257.235721 4.308467 0.000000
3  50 1.272188  67.772629 -0.147908 262.780382 4.408265 0.000000
3  51 1.272188  67.584119 -0.148448 268.275979 4.231333 0.000000
3  52 1.272188  67.465687 -0.037739 273.788236 4.434457 0.000000
3  53 1.272188  67.389776 -0.081600 279.420013 4.419231 0.000000
3  54 1.272188  67.300282 -0.059093 284.970583 4.306792 0.000000
3  55 1.272188  67.268568 0.009235 290.536544 4.443426 0.000000
3  56 1.272188  67.270145 -0.006757 296.306047 4.626780 0.000000
3  57 1.272188  67.274138 0.013035 302.307601 4.808232 0.000000
3  58 1.272188  67.266898 -0.024416 308.315977 4.637504 0.000000
3  59 1.272188  67.250614 -0.001185 314.152054 4.537362 0.000000
3  60 1.272188  67.251915 0.003231 319.964450 4.600277 0.000000
3  61 1.272188  67.124022 -0.204291 325.919639 4.761845 0.000000
3  62 1.272188  66.891164 -0.161784 332.091023 4.940155 0.000000
3  63 1.272188  64.746256 -3.096828 337.866336 3.829315 0.000000
3  64 1.272188  59.604043 -4.710915 341.197335 1.229169 0.000000
3  65 1.272188  53.564125 -4.460039 340.896085 -1.682361 0.000000
3  66 1.272188  48.886038 -2.646673 337.162432 -3.987514 0.000000
3  67 1.272188  47.229660 0.127270 331.539397 -4.544337 0.000000
3  68 1.272188  49.070805 2.664249 326.209366 -3.549485 0.000000
3  69 1.272188  53.668507 4.320742 323.062922 -1.227574 0.000000
3  70 1.272188  59.233622 4.128551 323.285426 1.565013 0.000000
3  71 1.272188  63.512508 2.369150 326.777397 3.739276 0.000000
3  72 1.272188  64.746149 -0.501914 332.163355 4.441402 0.000000
3  73 1.272188  62.470293 -2.951406 337.349624 3.440760 0.000000
