nmc=10
nx=5
kmax=105
run number  , frame , sample interval , truth:
4  17 1.899769  15.491952 -0.249961 235.786290 3.060724 0.000000
4  18 1.899769  14.992581 -0.275756 241.475044 2.928166 0.000000
4  19 1.899769  14.462226 -0.282581 247.170090 3.067347 0.000000
4  20 1.899769  14.022425 -0.180424 252.726824 2.782557 0.000000
4  21 1.899769  13.718358 -0.139686 258.135787 2.911780 0.000000
4  22 1.899769  13.560883 -0.026097 263.546264 2.784150 0.000000
4  23 1.899769  13.330772 -0.216155 268.789176 2.735375 0.000000
4  24 1.899769  12.570432 -0.584301 273.959441 2.707671 0.000000
4  25 1.899769  11.478157 -0.565602 279.471622 3.095330 0.000000
4  26 1.899769  10.007854 -0.982273 285.499331 3.250398 0.000000
4  27 1.899769  8.346947 -0.766263 291.745766 3.325596 0.000000
4  28 1.899769  6.597306 -1.075689 297.998268 3.256784 0.000000
4  29 1.899769  4.589288 -1.038271 304.218516 3.291641 0.000000
4  30 1.899769  2.823892 -0.820267 310.349033 3.162320 0.000000
4  31 1.899769  1.184177 -0.905958 316.260647 3.061187 0.000000
4  32 1.899769  -0.079521 -0.424413 322.220282 3.212876 0.000000
4  33 1.899769  -0.597348 -0.120734 328.035510 2.909160 0.000000
4  34 1.899769  -0.675019 0.038965 333.693901 3.047765 0.000000
4  35 1.899769  -0.590322 0.050201 339.162879 2.709753 0.000000
4  36 1.899769  -0.450041 0.097481 344.401158 2.804894 0.000000
4  37 1.899769  -0.335182 0.023438 349.725590 2.800452 0.000000
4  38 1.899769  -0.208076 0.110373 355.416439 3.190644 0.000000
4  39 1.899769  0.120513 0.235552 361.687182 3.410940 0.000000
4  40 1.899769  0.422612 0.082486 368.271879 3.521162 0.000000
4  41 1.899769  0.714691 0.225003 375.222314 3.795974 0.000000
4  42 1.899769  1.108044 0.189104 382.484749 3.849623 0.000000
4  43 1.899769  -0.584407 -1.922479 389.699828 3.544882 0.409760
4  44 1.899769  -6.620788 -4.121629 394.542251 1.299341 0.409598
4  45 1.899769  -14.462808 -3.706077 393.700637 -2.149454 0.292552
4  46 1.899769  -20.344792 -2.334296 387.712502 -3.997080 0.279376
4  47 1.899769  -22.534336 0.085376 379.402870 -4.542605 0.038358
4  48 1.899769  -21.991244 0.486148 370.674349 -4.642414 -0.143712
4  49 1.899769  -22.284961 -0.793499 362.209595 -4.211083 -0.390219
4  50 1.899769  -26.208802 -3.132737 355.403131 -2.625854 -0.365070
4  51 1.899769  -33.346282 -4.077256 352.594055 -0.220152 -0.338773
4  52 1.899769  -40.709793 -3.405723 354.691151 2.354055 -0.221600
4  53 1.899769  -45.925108 -2.001270 360.035749 3.183894 -0.329773
4  54 1.899769  -47.682453 0.210982 366.953963 3.863171 -0.503303
4  55 1.899769  -43.898847 3.479668 373.077240 2.086825 -0.554685
4  56 1.899769  -36.215002 3.879352 373.268742 -1.894951 -0.559648
4  57 1.899769  -31.923018 0.202603 366.723808 -4.336037 -0.376044
4  58 1.899769  -34.234049 -2.524182 358.932605 -3.519121 -0.171215
4  59 1.899769  -40.101360 -3.598858 353.315067 -2.340910 -0.103936
4  60 1.899769  -47.024262 -3.664545 349.403314 -1.764406 0.231452
4  61 1.899769  -52.673043 -2.179917 344.464482 -3.354149 0.176119
4  62 1.899769  -55.768779 -1.049547 337.307188 -4.112471 0.146283
4  63 1.899769  -56.891471 -0.126342 329.270783 -4.293739 0.072344
4  64 1.899769  -52.402180 4.133654 323.002091 -1.331101 0.000000
4  65 1.899769  -45.435021 2.052462 325.315806 3.343188 0.000000
4  66 1.899769  -46.235239 -2.768737 332.307349 2.918497 0.000000
4  67 1.899769  -53.321416 -3.569382 333.300256 -2.039102 0.000000
4  68 1.899769  -56.099075 1.082392 326.297550 -4.259803 0.000000
4  69 1.899769  -50.087579 4.265169 321.693738 0.169902 0.000000
4  70 1.899769  -44.965009 0.210947 326.884976 4.515637 0.000000
4  71 1.899769  -49.279364 -4.014267 333.398435 1.302936 0.000000
4  72 1.899769  -56.273500 -2.231635 330.744984 -3.687202 0.000000
4  73 1.899769  -55.537506 2.860210 323.519700 -2.713067 0.000000
4  74 1.899769  -48.309195 3.642980 322.783521 2.042459 0.000000
4  75 1.899769  -45.618285 -1.263060 329.586228 4.032347 0.000000
4  76 1.899769  -51.774331 -4.236158 333.598220 -0.483602 0.000000
4  77 1.899769  -56.842704 -0.243904 328.609226 -3.924471 0.000000
4  78 1.899769  -52.894385 3.772016 322.681606 -1.402778 0.000000
4  79 1.899769  -46.430287 1.952263 324.734110 3.218678 0.000000
4  80 1.899769  -47.244789 -2.683003 331.337183 2.679093 0.000000
